Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Anker Hotel,"Grünerløkka, Oslo",Chambre Simple,1 lit simple,"7,7",12 577 expériences vécues,"1 nuit, 1 adulte",,€ 146
Soria Moria Hotell,"Holmenkollen, Oslo",Chambre Simple Standard,1 lit simple,"8,0",1 128 expériences vécues,"1 nuit, 1 adulte",,€ 101
The Apartments Company - The Sweet,"Frogner, Oslo",Studio Simple,1 lit simple,"8,8",1 868 expériences vécues,"1 nuit, 1 adulte",,€ 110
Cozy room with smart solutions Grunerløkka Central,"Grünerløkka, Oslo",Chambre Double avec Salle de Bains Commune,Hébergement géré par un particulier,"5,0",3 expériences vécues,"1 nuit, 1 adulte",,€ 68
Oslo Superior,"Frogner, Oslo",Chambre Lits Jumeaux avec Balcon,Hébergement géré par un particulier,"7,2",28 expériences vécues,"1 nuit, 1 adulte",,€ 101
Guesthouse - Oslo Centrum,"Gamle Oslo, Oslo",Chambre Double,Hébergement géré par un particulier,"6,1",114 expériences vécues,"1 nuit, 1 adulte",,€ 110
Apartment in historical house,Oslo,Appartement,Hébergement géré par un particulier,"7,6",11 expériences vécues,"1 nuit, 1 adulte",,€ 422
Luxury 3BR apartment at CENTRAL OSLO barcode,"Gamle Oslo, Oslo",Appartement - Vue sur Mer,Hébergement géré par un particulier,"9,1",36 expériences vécues,"1 nuit, 1 adulte",,€ 565
Luxurious 2BR apartment at Central OSLO BARCODE,"Gamle Oslo, Oslo",Appartement 2 Chambres,Hébergement géré par un particulier,"8,8",22 expériences vécues,"1 nuit, 1 adulte",,€ 380
Scandic Holmenkollen Park,"Holmenkollen, Oslo",Chambre Lits Jumeaux Standard,2 lits simples,"8,5",2 268 expériences vécues,"1 nuit, 1 adulte",,€ 147
The Apartments Company - Majorstuen,"St. Hanshaugen, Oslo",Studio avec Vue sur Ville,1 lit double,"8,4",893 expériences vécues,"1 nuit, 1 adulte",,€ 163
