Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Hotel Color,"Nove Mesto, Bratislava",Chambre Double ou Lits Jumeaux Classique,2 lits simples,"8,2",685 expériences vécues,"1 nuit, 1 adulte",,€ 93
"Panorama City Apartment 3 rooms, free parking.","Staré Mesto, Bratislava",Appartement 2 Chambres,2 grands lits doubles,"9,6",17 expériences vécues,"1 nuit, 1 adulte",,€ 225€ 207-8 %
Penzion Hviezda,"Podunajske Biskupice, Bratislava",Chambre Simple,1 lit simple,"7,9",1 068 expériences vécues,"1 nuit, 1 adulte",,€ 48
Street Food Possonium Apartments,"Staré Mesto, Bratislava",Compact Deluxe Studio - Double Bed,1 lit double,"8,3",687 expériences vécues,"1 nuit, 1 adulte",,€ 80€ 74-8 %
Charming & Cozy Ambiente Apartments,"Staré Mesto, Bratislava",Appartement Supérieur,1 grand lit double,"8,1",258 expériences vécues,"1 nuit, 1 adulte",,€ 139€ 103-26 %
Hotel Orlan,"Ruzinov, Bratislava",Chambre Simple Économique,1 lit double,"7,7",785 expériences vécues,"1 nuit, 1 adulte",,€ 53
Penzión Vilo,"Staré Mesto, Bratislava",Chambre Double ou Lits Jumeaux avec Lit d'Appoint,Plusieurs types de lits,"7,8",869 expériences vécues,"1 nuit, 1 adulte",,€ 58
Urban Elephants Hostel,"Staré Mesto, Bratislava",Lit dans Dortoir Mixte de 6 Lits,1 lit superposé,"8,2",2 689 expériences vécues,"1 nuit, 1 adulte",,€ 15€ 14-6 %
CITY CENTER apartment with nice view,"Staré Mesto, Bratislava",Appartement 1 Chambre,Hébergement géré par un particulier,"9,2",11 expériences vécues,"1 nuit, 1 adulte",,€ 69€ 63-8 %
Botel Gracia,"Staré Mesto, Bratislava",Chambre Double,"2 lits (1 lit double, 1 canapé-lit)","7,5",2 509 expériences vécues,"1 nuit, 1 adulte",,€ 89
AH Proxenta,"Staré Mesto, Bratislava",Appartement 1 Chambre,Hébergement géré par un particulier,"9,3",24 expériences vécues,"1 nuit, 1 adulte",,€ 63€ 58-8 %
Ponteo - Activity Park Rusovce,Bratislava,Chambre Double,1 lit double,"8,4",466 expériences vécues,"1 nuit, 1 adulte",,€ 97€ 89-8 %
Hotel Antares,"Staré Mesto, Bratislava",Chambre Double Standard,Types de lits : 1 lit double ou 2 lits simples,"8,6",2 454 expériences vécues,"1 nuit, 1 adulte",,€ 111€ 102-8 %
apartman-Rača,"Rača, Bratislava",Appartement - Vue sur Jardin,Hébergement géré par un particulier,"8,2",262 expériences vécues,"1 nuit, 1 adulte",,€ 43
River View Apartments Hotel,"Staré Mesto, Bratislava",Deluxe Double Room - Street Parking,1 grand lit double,"8,7",952 expériences vécues,"1 nuit, 1 adulte",,€ 138
Petra Inn Apartments in historical palace Bratislava,"Staré Mesto, Bratislava",Chambre Double Standard,1 grand lit double,"7,0",439 expériences vécues,"1 nuit, 1 adulte",,€ 73€ 68-6 %
Natural-Style Apartment in The Centre of Bratislava,"Staré Mesto, Bratislava",Appartement 1 Chambre,Hébergement géré par un particulier,10,5 expériences vécues,"1 nuit, 1 adulte",,€ 81€ 74-8 %
"Panorama - Sunset and castle view, 22nd floor, garage, AC","Staré Mesto, Bratislava",Appartement 1 Chambre,"2 lits (1 lit double, 1 canapé-lit)","9,2",75 expériences vécues,"1 nuit, 1 adulte",,€ 205€ 193-6 %
