Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Home Suites Baku-Halal Hotel,"Sabayil , Baku",Chambre Simple Supérieure,1 lit simple,"8,6",826 expériences vécues,"1 nuit, 1 adulte",,€ 39€ 36-10 %
Utopia Hotel Baku,"Sabayil , Baku",Chambre Lit King-Size Standard,1 grand lit double,"8,6",103 expériences vécues,"1 nuit, 1 adulte",,€ 48€ 39-20 %
Grand Hotel Baku Central Park,"Yasamal , Baku",Chambre Double Standard,1 lit double,"8,4",430 expériences vécues,"1 nuit, 1 adulte",,€ 49
Cliffside Hotel Baku,"Sabayil , Baku",Chambre Double - Vue sur Jardin,1 lit double,"8,5",44 expériences vécues,"1 nuit, 1 adulte",,€ 12
Sahil Boutique Hotel,"Nasimi, Baku",Chambre Deluxe Double ou Lits Jumeaux,1 grand lit double,"8,7",16 expériences vécues,"1 nuit, 1 adulte",,€ 29
Smith Hotel,Baku,Chambre Double ou Lits Jumeaux Standard,Types de lits : 1 lit double ou 2 lits simples,"8,7",323 expériences vécues,"1 nuit, 1 adulte",,€ 52€ 42-20 %
The Diamond Hotel Baku,Baku,Chambre Double Standard,1 lit simple,"8,8",30 expériences vécues,"1 nuit, 1 adulte",,€ 44€ 35-20 %
Sapphire Inn Hotel,"Sabayil , Baku",Chambre Double ou Lits Jumeaux Affaires ,Plusieurs types de lits,"8,1",314 expériences vécues,"1 nuit, 1 adulte",,€ 50
Mc Donalds Apartment,"Nasimi, Baku",Appartement - Vue sur Mer,"5 lits (2 canapés-lits, 3 grands lits doubles)",10,3 expériences vécues,"1 nuit, 1 adulte",,€ 69
AEF Hotel and Restaurants,"Sabayil , Baku",Chambre Double avec Balcon,1 grand lit double,"8,0",1 expérience vécue,"1 nuit, 1 adulte",,€ 21
Sapphire Bayil,"Sabayil , Baku",Chambre Double Standard,1 grand lit double,"8,5",415 expériences vécues,"1 nuit, 1 adulte",,€ 51
OLF Hotel,"Nasimi, Baku",Chambre Simple Économique,1 lit simple,"9,1",339 expériences vécues,"1 nuit, 1 adulte",,€ 33
Rusel Park Hotel,Baku,Chambre Triple Supérieure,3 lits simples,"8,0",105 expériences vécues,"1 nuit, 1 adulte",,€ 66
FLY INN BAKU,Baku,Chambre Lit King-Size Classique,1 très grand lit double,"9,2",1 356 expériences vécues,"1 nuit, 1 adulte",,€ 87
Soprano Butik Hotel,"Yasamal , Baku",Chambre Double,1 lit double,"8,1",60 expériences vécues,"1 nuit, 1 adulte",,€ 21
Royal Antique Boutique Hotel,"Sabayil , Baku",Chambre Double Deluxe,1 grand lit double,"9,6",267 expériences vécues,"1 nuit, 1 adulte",,€ 134€ 114-15 %
Auroom Hotel,"Nasimi, Baku",Chambre Simple Standard,1 lit simple,"9,6",73 expériences vécues,"1 nuit, 1 adulte",,€ 60
Vip Hilmond Apartment,"Nasimi, Baku",Appartement Deluxe,Hébergement géré par un particulier,"8,9",8 expériences vécues,"1 nuit, 1 adulte",,€ 137
Volga Hotel Baku,Baku,Grande Chambre Double ,Plusieurs types de lits,"8,5",188 expériences vécues,"1 nuit, 1 adulte",,€ 55
Malakan Nizami str.,"Sabayil , Baku",Chambre Double Économique,1 grand lit double,"7,2",34 expériences vécues,"1 nuit, 1 adulte",,€ 28
Access Hotel,"Nasimi, Baku",Chambre Simple avec Salle de Bains ,1 lit simple,"8,0",29 expériences vécues,"1 nuit, 1 adulte",,€ 25
