Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
LUX&EASY Acropolis Suites,"Néos Kósmos, Athènes",Suite Junior,"2 lits (1 très grand lit double, 1 canapé-lit)","8,7",727 expériences vécues,"1 nuit, 1 adulte",,"€ 156€ 115
-26 %"
"Brown Kubic, a member of Brown Hotels","Athens City Centre, Athènes",Chambre Double ou Lits Jumeaux Urban,Types de lits : 1 lit double ou 2 lits simples,"8,5",851 expériences vécues,"1 nuit, 1 adulte",,€ 71
Attalos Hotel,"Psyrí, Athènes",Chambre Double ou Lits Jumeaux,Types de lits : 1 lit double ou 2 lits simples,"8,6",3 114 expériences vécues,"1 nuit, 1 adulte",,€ 67
Nur Aparthotel Athens,"Syntagma, Athènes",Chambre Double Économique (Sans Fenêtre),1 grand lit double,"9,6",184 expériences vécues,"1 nuit, 1 adulte",,"€ 138€ 117
-15 %"
360 Degrees,"Pláka, Athènes",Chambre Double ou Lits Jumeaux Standard,Types de lits : 1 lit double ou 2 lits simples,"8,9",1 037 expériences vécues,"1 nuit, 1 adulte",,€ 110
Wyndham Athens Residence,"Metaxourgeío, Athènes",Chambre Supérieure - Vue sur Atrium ,Types de lits : 1 lit double ou 2 lits simples,"7,6",543 expériences vécues,"1 nuit, 1 adulte",,"€ 234€ 188
-20 %"
Achillion Hotel,"Athens City Centre, Athènes",Chambre Simple,2 lits simples,"7,4",635 expériences vécues,"1 nuit, 1 adulte",,€ 38
Athens Marriott Hotel,"Paleó Fáliro, Athènes",Chambre Supérieure avec 2 Lits Simples - Vue sur Cour,2 lits simples,"8,4",787 expériences vécues,"1 nuit, 1 adulte",,€ 130
Radisson Blu Park Hotel Athens,"Athens City Centre, Athènes",Chambre Standard,Plusieurs types de lits,"8,0",600 expériences vécues,"1 nuit, 1 adulte",,€ 137
LUX&EASY Athens Downtown Residences,Athènes,Appartement 1 Chambre Deluxe,"2 lits (1 très grand lit double, 1 canapé-lit)","9,1",794 expériences vécues,"1 nuit, 1 adulte",,"€ 146€ 83
-43 %"
GK Ermou Str,"Syntagma, Athènes",Appartement Standard,"2 lits (1 lit double, 1 canapé-lit)","7,7",237 expériences vécues,"1 nuit, 1 adulte",,€ 71
Neapolis 1897 Boutique Hotel,"Exárcheia, Athènes",Chambre Double Deluxe,1 grand lit double,"8,8",813 expériences vécues,"1 nuit, 1 adulte",,"€ 181€ 72
-60 %"
Athenaeum K 29,"Athens City Centre, Athènes",Chambre Simple Classique,1 lit simple,"8,3",850 expériences vécues,"1 nuit, 1 adulte",,€ 61
FALIREON HOTEL,"Paleó Fáliro, Athènes",Chambre Simple Standard,1 lit simple,"8,0",490 expériences vécues,"1 nuit, 1 adulte",,€ 78
Acropolian Spirit Boutique Hotel,"Athens City Centre, Athènes",Chambre Double/Lits Jumeaux Confortable,Plusieurs types de lits,"8,4",1 378 expériences vécues,"1 nuit, 1 adulte",,€ 113
Areos,"Athens City Centre, Athènes",Chambre Simple,Plusieurs types de lits,"8,6",763 expériences vécues,"1 nuit, 1 adulte",,"€ 72€ 60
-16 %"
Athens Psiri Hotel,"Athens City Centre, Athènes",Chambre Simple,1 lit simple,"8,5",1 554 expériences vécues,"1 nuit, 1 adulte",,"€ 43€ 41
-5 %"
Athens Backpackers,"Koukaki, Athènes",Lit dans Dortoir 6 Lits,1 lit simple,"8,3",1 658 expériences vécues,"1 nuit, 1 adulte",,"€ 39€ 32
-20 %"
Athens Utopia Ermou,"Syntagma, Athènes",Chambre Double Classique,1 grand lit double,"8,8",1 437 expériences vécues,"1 nuit, 1 adulte",,€ 128
NJV Athens Plaza,"Syntagma, Athènes",Chambre Simple Classique,1 lit simple,"8,4",1 502 expériences vécues,"1 nuit, 1 adulte",,€ 184
Boss Boutique Athens,"Athens City Centre, Athènes",Chambre Double ou Lits Jumeaux Standard,Plusieurs types de lits,"8,6",2 294 expériences vécues,"1 nuit, 1 adulte",,"€ 89€ 54
-40 %"
Dorian Inn - Sure Hotel Collection by Best Western,"Athens City Centre, Athènes",Chambre Simple Standard - Non-Fumeurs,1 lit simple,"8,1",1 939 expériences vécues,"1 nuit, 1 adulte",,€ 101
Hotel @Syngrou Fix,"Koukaki, Athènes",Chambre Simple Affaires ,1 lit simple,"8,8",1 345 expériences vécues,"1 nuit, 1 adulte",,€ 83
athensdot,"Psyrí, Athènes",Chambre Double Économique - Intérieur,1 grand lit double,"7,7",1 860 expériences vécues,"1 nuit, 1 adulte",,€ 57
Acropolis Museum Boutique Hotel,"Koukaki, Athènes",Chambre Simple,1 lit simple,"8,0",583 expériences vécues,"1 nuit, 1 adulte",,€ 79
"Athens Key Hotel, Trademark Collection by Wyndham","Exárcheia, Athènes",Chambre Simple,1 lit double,"8,8",339 expériences vécues,"1 nuit, 1 adulte",,"€ 146€ 118
-19 %"
Ioannis Apartments,"Athens City Centre, Athènes",Studio Double Deluxe,Hébergement géré par un particulier,"7,7",198 expériences vécues,"1 nuit, 1 adulte",,"€ 60€ 47
-22 %"
athensvintage,"Psyrí, Athènes",Studio,"2 lits (1 canapé-lit, 1 grand lit double)","7,8",265 expériences vécues,"1 nuit, 1 adulte",,"€ 71€ 57
-20 %"
Athens One Smart Hotel,"Athens City Centre, Athènes",Chambre Standard,Types de lits : 1 lit double ou 2 lits simples,"7,9",1 029 expériences vécues,"1 nuit, 1 adulte",,€ 88
Hera Hotel,"Koukaki, Athènes",Chambre Simple Standard,,"8,6",401 expériences vécues,"1 nuit, 1 adulte",,€ 87
Parnon Hotel,"Athens City Centre, Athènes",Chambre Simple,1 lit simple,"8,4",925 expériences vécues,"1 nuit, 1 adulte",,"€ 74€ 63
-15 %"
Historic Center Town hall rooms,"Athens City Centre, Athènes",Chambre Triple avec Salle de Bains Privative,Hébergement géré par un particulier,"6,9",43 expériences vécues,"1 nuit, 1 adulte",,"€ 35€ 30
-12 %"
Athens Cypria Hotel,"Syntagma, Athènes",Chambre Simple Économique,1 lit double,"8,5",3 461 expériences vécues,"1 nuit, 1 adulte",,€ 147
Nikis 20 Suites,"Syntagma, Athènes",Suite Standard,"2 lits (1 canapé-lit, 1 grand lit double)","8,5",67 expériences vécues,"1 nuit, 1 adulte",,"€ 102€ 87
-15 %"
Cohort Koukaki,"Koukaki, Athènes",Chambre Quadruple,2 lits superposés,"9,4",932 expériences vécues,"1 nuit, 1 adulte",,"€ 156€ 114
-27 %"
Eleana Apartment By The Acropolis,"Koukaki, Athènes",Appartement,1 grand lit double,"9,3",92 expériences vécues,"1 nuit, 1 adulte",,"€ 284€ 185
-35 %"
Albion,"Athens City Centre, Athènes",Chambre Lit King-Size,1 grand lit double,"6,7",47 expériences vécues,"1 nuit, 1 adulte",,€ 51
