Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
"Hotel Indigo Vienna - Naschmarkt, an IHG Hotel","05. Margareten, Vienne",Chambre Lit Queen-Size Standard avec Balcon,1 grand lit double,"9,3",1 844 expériences vécues,"1 nuit, 1 adulte",,€ 224
Space Home Apartment - Inner City,"03. Landstraße, Vienne",Chambre Simple,1 lit simple,"8,0",1 319 expériences vécues,"1 nuit, 1 adulte",,€ 45
CH-Hostel,"01. Innere Stadt, Vienne",Lit dans Dortoir Mixte de 8 Lits ,1 lit simple,"7,7",1 803 expériences vécues,"1 nuit, 1 adulte",,€ 36
Hotel Corvinus,"06. Mariahilf, Vienne",Chambre Simple,1 lit simple,"8,4",1 134 expériences vécues,"1 nuit, 1 adulte",,€ 191
Hotel Calmo,"09. Alsergrund, Vienne",Chambre Double Standard,2 lits simples,"8,0",4 893 expériences vécues,"1 nuit, 1 adulte",,€ 149
the niu Franz,"20. Brigittenau, Vienne",Chambre Double Standard,1 grand lit double,"8,6",6 382 expériences vécues,"1 nuit, 1 adulte",,€ 152
Hotel Bellevue Wien,"09. Alsergrund, Vienne",Suite Junior,1 grand lit double,"8,0",4 339 expériences vécues,"1 nuit, 1 adulte",,€ 151
Hotel Spiess & Spiess,"03. Landstraße, Vienne",Chambre Simple Standard avec Balcon et Vue sur le Jardin,1 lit simple,"8,9",1 134 expériences vécues,"1 nuit, 1 adulte",,€ 251
Vienna Cube Apartments,"15. Rudolfsheim-Fünfhaus, Vienne",Appartement avec Terrasse,1 très grand lit double,"9,0",895 expériences vécues,"1 nuit, 1 adulte",,€ 120
ARCOTEL Wimberger Wien,"07. Neubau, Vienne",Chambre Double Supérieure,Plusieurs types de lits,"8,1",6 988 expériences vécues,"1 nuit, 1 adulte",,€ 242€ 169-30 %
Hilton Vienna Plaza,"01. Innere Stadt, Vienne",Chambre Lits Jumeaux,2 lits simples,"8,4",4 359 expériences vécues,"1 nuit, 1 adulte",,€ 391
Doppel Bett in Terrace (seperated from the common area with curtains),"23. Liesing, Vienne",Chambre Double,1 lit simple,"7,1",13 expériences vécues,"1 nuit, 1 adulte",,€ 40
Theaterhotel & Suites Wien,"08. Josefstadt, Vienne",Hébergement Doppelzimmer Classique,1 grand lit double,"8,5",1 321 expériences vécues,"1 nuit, 1 adulte",,€ 198
"Hotel Bristol, a Luxury Collection Hotel, Vienna","01. Innere Stadt, Vienne",Chambre Lit King-Size Classique,1 très grand lit double,"9,1",671 expériences vécues,"1 nuit, 1 adulte",,€ 400
Viktoria,"15. Rudolfsheim-Fünfhaus, Vienne",Dortoir Mixte ,"5 lits (1 lit double, 4 lits superposés)","7,5",1 272 expériences vécues,"1 nuit, 1 adulte",,€ 70
HiLight Suites Hotel,"03. Landstraße, Vienne",Suite Classique,Types de lits : 1 lit double ou 2 lits simples,"8,6",1 566 expériences vécues,"1 nuit, 1 adulte",,€ 227
Merdian Aparthotel Near Hauptbahnhof wien,"10. Favoriten, Vienne",Appartement 1 Chambre,1 lit double,"5,6",105 expériences vécues,"1 nuit, 1 adulte",,€ 69
Hotel Rathaus - Wein & Design,"08. Josefstadt, Vienne",Chambre Double Confort,1 très grand lit double,"8,9",704 expériences vécues,"1 nuit, 1 adulte",,€ 250
Doubletree by Hilton Vienna Schonbrunn,"14. Penzing, Vienne",Chambre Lits Jumeaux,2 lits simples,"8,5",4 732 expériences vécues,"1 nuit, 1 adulte",,€ 136
Pension Kasper,"10. Favoriten, Vienne",Chambre Double,2 lits simples,"8,8",344 expériences vécues,"1 nuit, 1 adulte",,€ 129
Pension am Kurpark,"10. Favoriten, Vienne",Chambre Simple,Hébergement géré par un particulier,"8,0",41 expériences vécues,"1 nuit, 1 adulte",,€ 70
Luxury near Castle,"04. Wieden, Vienne",Chambre Lit Queen-Size Deluxe,Hébergement géré par un particulier,"8,6",179 expériences vécues,"1 nuit, 1 adulte",,€ 143
