Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Fifty Apartments,"Lower Town, Zagreb",Appartement 1 Chambre,Hébergement géré par un particulier,"8,8",94 expériences vécues,"1 nuit, 1 adulte",,€ 63
LaRoom - Free Parking,Zagreb,Chambre Simple avec Salle de Bains Privative,Hébergement géré par un particulier,"9,2",198 expériences vécues,"1 nuit, 1 adulte",,€ 45
Hostel Bureau,"Lower Town, Zagreb",Lit dans Dortoir Mixte de 8 Lits ,1 lit superposé,"8,3",2 404 expériences vécues,"1 nuit, 1 adulte",,€ 36
Villa Zrina,Zagreb,Chambre Simple,Hébergement géré par un particulier,"8,3",435 expériences vécues,"1 nuit, 1 adulte",,€ 68
The Attic,Zagreb,Studio Deluxe,Hébergement géré par un particulier,"9,4",254 expériences vécues,"1 nuit, 1 adulte",,€ 65
Lake house,"Jarun, Zagreb",Chambre Double ou Lits Jumeaux avec Salle de Bains Privative,Hébergement géré par un particulier,"9,2",61 expériences vécues,"1 nuit, 1 adulte",,€ 40
Green Apartman,"Lower Town, Zagreb",Appartement 1 Chambre,Hébergement géré par un particulier,"8,6",27 expériences vécues,"1 nuit, 1 adulte",,€ 49
TOMY,Zagreb,Chambre Double,Hébergement géré par un particulier,"8,2",316 expériences vécues,"1 nuit, 1 adulte",,€ 51
SmartRoomsZagreb,"Lower Town, Zagreb",Chambre Double Deluxe,1 grand lit double,"9,5",581 expériences vécues,"1 nuit, 1 adulte",,€ 95
National Plus,Zagreb,Chambre Double,1 grand lit double,"8,7",211 expériences vécues,"1 nuit, 1 adulte",,"€ 80€ 72
-10 %"
Little Zrin Rooms,"Lower Town, Zagreb",Appartement 1 Chambre,Hébergement géré par un particulier,"8,1",84 expériences vécues,"1 nuit, 1 adulte",,€ 58
Grand Hotel Zagreb,Zagreb,Chambre Double ou Lits Jumeaux Supérieure,1 grand lit double,"9,0",887 expériences vécues,"1 nuit, 1 adulte",,€ 129
Apartment Perla,"Lower Town, Zagreb",Studio Deluxe,Hébergement géré par un particulier,"8,6",405 expériences vécues,"1 nuit, 1 adulte",,€ 58
Hotel Europa,Zagreb,Chambre Simple,1 lit simple,"7,0",1 245 expériences vécues,"1 nuit, 1 adulte",,€ 67
Apartment Grado,Zagreb,Appartement,Hébergement géré par un particulier,"9,3",91 expériences vécues,"1 nuit, 1 adulte",,€ 51
Cozy uppertown studio,"Upper Town – Medvescak, Zagreb",Appartement 1 Chambre,Hébergement géré par un particulier,"8,2",57 expériences vécues,"1 nuit, 1 adulte",,€ 50
