Nom_Hotel,Adresse,Nom_Suite,Services,Note,Nbr_Experiences,Periode,Date,Prix
Hotel Sofia,Helsinki,Chambre Lits Jumeaux Standard,2 lits simples,"7,9",313 expériences vécues,"1 nuit, 1 adulte",,€ 95
Duplex apartment,Helsinki,Appartement 2 Chambres,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 72
Hostel Suomenlinna,Helsinki,Lit Simple dans Dortoir pour Femmes,1 lit superposé,"8,8",523 expériences vécues,"1 nuit, 1 adulte",,€ 25€ 23-8 %
Hotel Fabian,"Kaartinkaupunki, Helsinki",Chambre Double ou Lits Jumeaux Confort ,1 très grand lit double,"8,8",455 expériences vécues,"1 nuit, 1 adulte",,€ 173
Hotel Haven,"Kaartinkaupunki, Helsinki",Chambre Supérieure,1 très grand lit double,"8,8",381 expériences vécues,"1 nuit, 1 adulte",,€ 182
Noli Sörnäinen,"Sörnäinen, Helsinki",Compact-Studio,1 lit double,"8,9",1 666 expériences vécues,"1 nuit, 1 adulte",,€ 95€ 87-8 %
Noli Malmi,Helsinki,Chambre Double,1 grand lit double,"9,0",343 expériences vécues,"1 nuit, 1 adulte",,€ 92€ 74-20 %
Studio The Vibe / 25min to airpt & 5min to center,Helsinki,Appartement 1 Chambre,Hébergement géré par un particulier,"8,5",30 expériences vécues,"1 nuit, 1 adulte",,€ 64€ 59-8 %
Noli Katajanokka,"Katajanokka, Helsinki",Standard-Studio,1 lit double,"8,9",1 237 expériences vécues,"1 nuit, 1 adulte",,€ 128€ 117-8 %
Arkadia Hotel & Hostel,Helsinki,Lit Simple dans Dortoir pour Hommes,1 lit superposé,"5,2",1 798 expériences vécues,"1 nuit, 1 adulte",,€ 31€ 18-41 %
The Yard Hostel,"Kamppi, Helsinki",Chambre Double Économique avec Salle de Bains Commune (Sans Fenêtre),1 lit double,"8,8",2 185 expériences vécues,"1 nuit, 1 adulte",,€ 99
Helsinki Private-Yksityinen-Частный Room in Shared Apartment into Airport-BusTrain Station-University,Helsinki,Chambre Double ou Lits Jumeaux,Hébergement géré par un particulier,"7,7",31 expériences vécues,"1 nuit, 1 adulte",,€ 38€ 35-8 %
Finlandia Park Hotel Helsinki,Helsinki,Chambre Simple,1 lit simple,"7,2",1 638 expériences vécues,"1 nuit, 1 adulte",,€ 123
Hotel Bastian,"Kamppi, Helsinki",Chambre Double Supérieure,1 très grand lit double,"9,2",275 expériences vécues,"1 nuit, 1 adulte",,€ 171
Forenom Hostel Helsinki Pitäjänmäki,Helsinki,Chambre Lits Jumeaux avec Salle de Bains Commune,2 lits simples,"6,0",276 expériences vécues,"1 nuit, 1 adulte",,€ 62€ 57-8 %
Picturesque Area in Helsinki Center Apartment,"Ullanlinna, Helsinki",Appartement 1 Chambre,Hébergement géré par un particulier,"8,6",53 expériences vécues,"1 nuit, 1 adulte",,€ 98€ 90-8 %
Spacious Family Apt by Helsinki Metro,Helsinki,Appartement avec Terrasse,Hébergement géré par un particulier,"9,0",1 expérience vécue,"1 nuit, 1 adulte",,€ 89€ 82-8 %
Hotel St. George Helsinki,"Kamppi, Helsinki",Studio Confortable,1 grand lit double,"8,5",265 expériences vécues,"1 nuit, 1 adulte",,€ 273
"Hotel U14, Autograph Collection","Kaartinkaupunki, Helsinki",Chambre Confort avec 1 Lit King-Size,1 grand lit double,"9,2",545 expériences vécues,"1 nuit, 1 adulte",,€ 187
Schnord Apartments - Spacious Apartment Next to Metro,Helsinki,Appartement 1 Chambre,Hébergement géré par un particulier,"8,7",6 expériences vécues,"1 nuit, 1 adulte",,€ 88€ 81-8 %
UNITY Helsinki,"Jätkäsaari, Helsinki",Studio Deluxe,1 grand lit double,"9,0",1 068 expériences vécues,"1 nuit, 1 adulte",,€ 147€ 135-8 %
2ndhomes Bright Studio in Fredrikinkatu,"Kamppi, Helsinki",Studio,1 grand lit double,"7,6",27 expériences vécues,"1 nuit, 1 adulte",,€ 110€ 104-5 %
Miraflo Teams BnB,Helsinki,Studio Standard,2 lits simples,"9,1",23 expériences vécues,"1 nuit, 1 adulte",,€ 118€ 109-8 %
Noli Katajanokka II,"Katajanokka, Helsinki", Standard-Studio,1 grand lit double,"7,9",8 expériences vécues,"1 nuit, 1 adulte",,€ 128
Center of Helsinki 1,"Taka-Töölö, Helsinki",Appartement,Hébergement géré par un particulier,"8,1",57 expériences vécues,"1 nuit, 1 adulte",,€ 85€ 81-5 %
Viking Line ferry Viking XPRS - Night Cruise from Helsinki,"Katajanokka, Helsinki",Inside Piccolo Small,2 lits superposés,"8,3",366 expériences vécues,"1 nuit, 1 adulte",,€ 46
Hiisi Homes Helsinki Haaga,Helsinki, Studio,"3 lits (2 lits simples, 1 canapé-lit)","8,3",471 expériences vécues,"1 nuit, 1 adulte",,€ 101
Cozy duplex at Heikinlaakso,Helsinki,Appartement 1 Chambre,"3 lits (2 lits simples, 1 canapé-lit)","9,1",46 expériences vécues,"1 nuit, 1 adulte",,€ 121€ 111-8 %
2ndhomes Charming and Cozy 1BR Apartment,"Etu-Töölö, Helsinki",Appartement 1 Chambre,1 grand lit double,,"1 nuit, 1 adulte",Taxes et frais compris,,€ 136€ 129-6 %
Center of Helsinki,"Taka-Töölö, Helsinki",Appartement - Rez-de-Chaussée,2 lits simples,"8,0",42 expériences vécues,"1 nuit, 1 adulte",,€ 97€ 93
Viking Line ferry Gabriella - One-way journey from Helsinki to Stockholm,"Katajanokka, Helsinki",Hébergement Économique ,4 lits superposés,"8,4",24 expériences vécues,"1 nuit, 1 adulte",,€ 71
HOMELY - City Apartment 50m2,"Kallio, Helsinki",Appartement 1 Chambre,Hébergement géré par un particulier,"8,9",64 expériences vécues,"1 nuit, 1 adulte",,€ 187€ 177-5 %
Pihlajisto 7th floor with view,Helsinki,Appartement,"3 lits (2 lits doubles, 1 canapé-lit)",,"1 nuit, 1 adulte",Taxes et frais compris,,€ 166
"2ndhomes Bright & Spacious, 5 Bedroom Apartment in the Center","Kamppi, Helsinki",Appartement Deluxe,"8 lits (4 lits simples, 1 canapé-lit, 3 grands lits doubles)",,"1 nuit, 1 adulte",Taxes et frais compris,,€ 357€ 336-6 %
2ndhomes 117 m2 Bright Top Floor 3 Bedroom Apartment with Sauna in Helsinki Center,"Kamppi, Helsinki",Appartement 3 Chambres,"4 lits (1 lit double, 1 canapé-lit, 2 grands lits doubles)","8,8",5 expériences vécues,"1 nuit, 1 adulte",,€ 337€ 316-6 %
2ndhomes Helsinki Center 2BR 103 m2 Deluxe Apartment with Sauna and Balcony,"Kamppi, Helsinki",Appartement avec Sauna,"3 lits (2 lits simples, 1 lit double)","9,3",6 expériences vécues,"1 nuit, 1 adulte",,€ 396€ 371-6 %
Mökki merenrannalla Vuosaaressa,Helsinki,Chalet 2 Chambres,Hébergement géré par un particulier,"9,5",4 expériences vécues,"1 nuit, 1 adulte",,€ 309€ 284-8 %
2ndhomes Stunning 126 m2 3BR Apartment with Sauna in Helsinki City Center,"Kamppi, Helsinki",Appartement Supérieur avec Sauna,"5 lits (4 lits simples, 1 grand lit double)","7,8",13 expériences vécues,"1 nuit, 1 adulte",,€ 411€ 386-6 %
