Date_Départ,Date_arrivée,VILLE_DEPART,VILLE_ARRIVEE,Horaires,Trajet,Type de trajet,Temps de trajet,Prix,Compagnie de vol
2023-12-27,2024-01-02,VNO,KIV,19:10 – 17:40+1,VNOAéroport de Vilnius-KIVChisinau,1 escale,22h 30min,417 €,LOT
2023-12-27,2024-01-02,VNO,KIV,16:55 – 17:40+1,VNOAéroport de Vilnius-KIVChisinau,1 escale,24h 45min,417 €,LOT
2023-12-27,2024-01-02,VNO,KIV,10:05 – 17:40,VNOAéroport de Vilnius-KIVChisinau,1 escale,7h 35min,420 €,LOT
2023-12-27,2024-01-02,VNO,KIV,10:05 – 17:40,VNOAéroport de Vilnius-KIVChisinau,1 escale,7h 35min,421 €,LOT
2023-12-27,2024-01-02,VNO,KIV,10:05 – 17:40,VNOAéroport de Vilnius-KIVChisinau,1 escale,7h 35min,421 €,LOT
2023-12-27,2024-01-02,VNO,KIV,10:05 – 17:40,VNOAéroport de Vilnius-KIVChisinau,1 escale,7h 35min,421 €,LOT
2023-12-27,2024-01-02,VNO,KIV,10:05 – 17:40,VNOAéroport de Vilnius-KIVChisinau,1 escale,7h 35min,421 €,LOT
2023-12-27,2024-01-02,VNO,KIV,10:05 – 17:40,VNOAéroport de Vilnius-KIVChisinau,1 escale,7h 35min,422 €,LOT
2023-12-27,2024-01-02,VNO,KIV,10:05 – 14:05,VNOAéroport de Vilnius-KIVChisinau,1 escale,4h 00min,444 €,LOT
2023-12-27,2024-01-02,VNO,KIV,10:05 – 14:05,VNOAéroport de Vilnius-KIVChisinau,1 escale,4h 00min,444 €,LOT
2023-12-27,2024-01-02,VNO,KIV,10:05 – 14:05,VNOAéroport de Vilnius-KIVChisinau,1 escale,4h 00min,444 €,LOT
2023-12-27,2024-01-02,VNO,KIV,10:05 – 14:05,VNOAéroport de Vilnius-KIVChisinau,1 escale,4h 00min,444 €,LOT
2023-12-27,2024-01-02,VNO,KIV,10:05 – 14:05,VNOAéroport de Vilnius-KIVChisinau,1 escale,4h 00min,444 €,LOT
2024-01-03,2024-01-09,BER,PAR,15:45 – 19:15,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,1 escale,3h 30min,155 €,Lufthansa
2024-01-03,2024-01-09,BER,PAR,15:45 – 19:15,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,1 escale,3h 30min,155 €,Lufthansa
2024-01-03,2024-01-09,BER,PAR,15:45 – 19:15,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,1 escale,3h 30min,156 €,"Lufthansa, SWISS"
2024-01-03,2024-01-09,BER,PAR,20:40 – 09:00+1,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,1 escale,12h 20min,156 €,SWISS
2024-01-03,2024-01-09,BER,PAR,15:45 – 19:15,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,1 escale,3h 30min,162 €,Lufthansa
2024-01-03,2024-01-09,BER,PAR,15:45 – 19:15,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,1 escale,3h 30min,162 €,Lufthansa
2024-01-03,2024-01-09,BER,PAR,18:40 – 22:15,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,1 escale,3h 35min,167 €,"SWISS, Lufthansa"
2024-01-03,2024-01-09,BER,PAR,07:10 – 07:40+1,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,1 escale,24h 30min,167 €,Brussels Airlines
2024-01-03,2024-01-09,BER,PAR,18:40 – 22:15,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,1 escale,3h 35min,168 €,SWISS
2024-01-03,2024-01-09,BER,PAR,06:55 – 08:45,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,direct,1h 50min,170 €,Air France
2024-01-03,2024-01-09,BER,PAR,15:45 – 19:15,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,1 escale,3h 30min,170 €,Lufthansa
2024-01-03,2024-01-09,BER,PAR,07:00 – 13:55,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,1 escale,6h 55min,171 €,SWISS
2024-01-03,2024-01-09,BER,PAR,20:15 – 22:05,BERAéroport de Berlin Brandebourg-CDGAéroport Charles-de-Gaulle,direct,1h 50min,175 €,Air France
