Titre,Lien_du_titre,image,note,venueindex,catégorie,prix,adresse,étiquette,avatar,tiptext,auteur,utilisateur_lien,utilisateur
Modulor,https://fr.foursquare.com/v/modulor/4db6a3ec81543d71da6fec74,https://fastly.4sqi.net/img/general/600x600/208820_34MwMBMMNVVxaAVgN2kOKVwtlPNaTRp8KVXw75p4Iw0.jpg,9.3,21,Magasin d'arts plastiques,€€€€,"Prinzenstr. 85 (Moritzplatz), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/399032996_MjSnh6VW_m2OPBUV5ZSXw_VyxrUSkqsO5h-GECc5bAvus9Z0Eja1maFEj6Xx3hkuLEyonFDRF.jpg,"David G. • Octobre 22, 2019
Le lieu rêvé pour tous les artistes, étudiants en arts, amateurs d'écriture, travaux manuels soignés, etc. Pour un professeur, comme pour un élève, ce magasin est + que parfait.","David G. • Octobre 22, 2019",https://fr.foursquare.com/davidg6539692,David G.
Duo Sicilian Ice Cream,https://fr.foursquare.com/v/duo-sicilian-ice-cream/57a8cf0a498e5a583a21daae,https://fastly.4sqi.net/img/general/600x600/147953216_f_mLERJ7gwYCUaKr0ZmLGiaAN1aYvtKsHR15eY5eIGM.jpg,9.3,22,Glace,€€€€,"Skalitzer Str. 82, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/Z2ZO1CFHLM3CAEKS.jpg,"Tobias S. • Avril 22, 2019
Wonderfully rich, creamy I've cream, generous portions. Etna has pistachio almond butter veins running through it","Tobias S. • Avril 22, 2019",https://fr.foursquare.com/tobiass1167837,Tobias S.
Classic Remise Berlin,https://fr.foursquare.com/v/classic-remise-berlin/4adcda83f964a520af4821e3,https://fastly.4sqi.net/img/general/600x600/14075152_ST9mm85R35dPLs6s3CmGJeloLUmU05eEmzwjwKlEAto.jpg,9.3,23,Concessionnaire automobile,,"Wiebestr. 36 (Sickingenstr.), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/39673002-R4PM0L2QNVBURSJ4.jpg,"Erwan D. • Août 25, 2017
Fabuleux. Des voitures magnifiques, beaucoup de turn over. Et le tout gratuit! A faire pour les amoureux de belles mécaniques, anciennes ou récentes.","Erwan D. • Août 25, 2017",https://fr.foursquare.com/erwand7544962,Erwan D.
Britzer Garten,https://fr.foursquare.com/v/britzer-garten/4beff84bd4e4d13a40b415a7,https://fastly.4sqi.net/img/general/600x600/11674224_9MZZThvp5iJmiyNmIuGV67yCeIZCJyTHlFEblwSPOkA.jpg,9.3,24,Parc,,"Buckower Damm 152 (Mohriner Allee 143), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/76009800-QEBCV3Z0DGWOP1ZY.jpg,"Halima • Mars 6, 2015
Quiet, beautiful and clean. Best garden in berlin, Entrance fee 3 €","Halima • Mars 6, 2015",https://fr.foursquare.com/halima1319588,Halima
pro qm,https://fr.foursquare.com/v/pro-qm/4b894094f964a5201c2632e3,https://fastly.4sqi.net/img/general/600x600/56751205_5YzQUuqI7JNGlL3pdTJNh5UC9EgwVZAGtWNB2ejZZUI.jpg,9.3,25,Librairie,,"Almstadtstr. 45, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/84359819-EIPOLGFBVUKZEJZF.jpg,"Karl H. • Janvier 21, 2017
One of the cooles bookstores I've visited. They had a ton of books on philosophy, art and anything you could dream of!","Karl H. • Janvier 21, 2017",https://fr.foursquare.com/hallbjornsson,Karl H.
vabali spa,https://fr.foursquare.com/v/vabali-spa/53a47c2d498e7989b0a7ab5b,https://fastly.4sqi.net/img/general/600x600/94213375_es_hmQqVxwcNcrKUu36gJSnSf4FvpmWOE6trvyk2Dc8.jpg,9.3,26,Spa,,"Seydlitzstr. 6, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/57749351_Apsa9P0J_6VvcbDg9a6_FmL5HTaCQUvebEEJU-Ke3B34TakFS9A3wA4DFFypa-bq_pindHV9_.jpg,"Matthieu • Mars 11, 2015
Very nice spa, lots of different saunas, nice atmosphere, friendly staff. A one day vacation in Bali. Food is also good. 8/10","Matthieu • Mars 11, 2015",https://fr.foursquare.com/matthieu4376254,Matthieu
Steckerlfisch & Co.,https://fr.foursquare.com/v/steckerlfisch--co/4e564b5f922e68c545c238da,https://fastly.4sqi.net/img/general/600x600/7024714_g4h2X2sZrY-TS89h19OeuSKzqRIwQi8E-gET30APRZA.jpg,9.3,27,Fruits de mer,€€€€,"Arkonaplatz, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/487236418_UU8xtxfK_1UMJrKk61dTynvy1mdKDh-rWIq8SQR2YzguqByGfRh57rR7OLDl2foQe8VVOD-rB.jpg,"Neeraj • Décembre 8, 2018
Fantastic grilled fish. Awesome guys running the stand. They also do a great soup in the winter.","Neeraj • Décembre 8, 2018",https://fr.foursquare.com/neeraj1783605,Neeraj
Coupole du Reichstag,https://fr.foursquare.com/v/reichstagskuppel/4c99d25c292a6dcb0c45c976,https://fastly.4sqi.net/img/general/600x600/4121045_jQPfza9OiQD4_lExymtIxbH5dikHQNgQAyy4_qj-2A0.jpg,9.3,28,Belvédère / Panorama,,"Platz der Republik 1, Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/478958825_Bz97ZB4Q_S7Jbyt-QAYtlJQrsX0MI-VbMKeFIdI_wVYdp529zD28W9zgTNQrpMZHpTXGtdD2H.jpg,"Sab M. • Novembre 17, 2019
A voir !!audioguide top!mais par temps de pluie visibilité réduite par la buée..En hiver il y fait vraiment froid aussi ,Doudoune à prévoir !!","Sab M. • Novembre 17, 2019",https://fr.foursquare.com/sabm9474727,Sab M.
Gendarmenmarkt,https://fr.foursquare.com/v/gendarmenmarkt/4adcda7df964a5206a4721e3,https://fastly.4sqi.net/img/general/600x600/21446744_7uEzeS2mwTWNlF0WNZeeQPehRdNbjsWY-fyufmf6umg.jpg,9.3,29,Place,,"Markgrafenstr. (Taubenstr.), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/482618733_VmpDW-d-_J8Mtx7h1XfwjVoRK-YNbVXoZrZNOpu8Uosi_LaxaBqVnL0R3ENoy_FUi6vRE9xgx.jpg,"Estelle E. • Avril 8, 2018
Très jolie place. Agréable d’y boire un verre en terrasse ou de s’y poser pour contempler la vue","Estelle E. • Avril 8, 2018",https://fr.foursquare.com/estellee8680665,Estelle E.
Philharmonie,https://fr.foursquare.com/v/philharmonie/4adcda88f964a5208a4921e3,https://fastly.4sqi.net/img/general/600x600/105926426_FDiSQZLOtJYXSXbCDNxfrrr4QQwFxM38Xvhm1NInCaA.jpg,9.3,30,Salle de concert,€€€€,"Herbert-von-Karajan-Str. 1 (Tiergartenstr.), Berlin",Enregistrer ,https://fastly.4sqi.net/img/user/128x128/89074697-IS3OO1ZAXKBBQBZU.jpg,"Erika G. • Septembre 15, 2017
Fantastic acoustics, wonderful concerts!","Erika G. • Septembre 15, 2017",https://fr.foursquare.com/erikag2714442,Erika G.
