Titre,Avis,Type,Price
 Sapori Sardi,798 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Patty Bistro,172 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Feelsgood,96 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Blend Food & Drink,150 avis,"Italienne, Bar",€€-€€€
 Klass Restaurant,1 121 avis,"Italienne, Pizza",€€-€€€
 Casa Sanchez,251 avis,"Mexicaine, Saine",€€-€€€
 Arcade and Food,678 avis,"Italienne, Steakhouse",€€-€€€
 Mun Sushi Bar,171 avis,"Japonaise, Fruits de mer et poisson",€€-€€€
 1990 Accademia Del Gusto,265 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 La Bottega di Cesare,615 avis,"Italienne, Méditerranéenne",€
 Divin Ostilia Wine Bar,1 196 avis,"Italienne, Méditerranéenne",€€-€€€
 Culinaria,1 551 avis,"Italienne, Méditerranéenne",€€-€€€
 La Cucina Nazionale,2 958 avis,"Italienne, Pizza",€€-€€€
 Trattoria Accattone,408 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Vinea,306 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Osteria Del Borgo,940 avis,"Italienne, Méditerranéenne",€€-€€€
 Pizzeria Antica Stabia,1 175 avis,"Italienne, Pizza",€€-€€€
 Osteria Pocci,348 avis,"Italienne, Méditerranéenne",€€-€€€
 Antica Osteria di Pietra,797 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 i Clementini,2 259 avis,"Romana, Latium",€€-€€€
 Il Desiderio Preso Per La Coda,362 avis,"Italienne, Méditerranéenne",€€-€€€
 Metis,75 avis,"Italienne, Fruits de mer et poisson",€€€€
 Ristorante Pinseria Al 39 da Massimo,987 avis,"Italienne, Romana",€€-€€€
 I Monticiani,1 317 avis,"Italienne, Steakhouse",€€-€€€
 Pizzium - Roma Via Livorno,117 avis,"Italienne, Pizza",€€-€€€
 Pesci Fritti Trattoria,713 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 320 Gradi,607 avis,"Italienne, Pizza",€€-€€€
 Annapoorna INDIA - Ristorante indiano a Roma,186 avis,Indienne,€€-€€€
 Meridionale - Trattoria a Trastevere,2 208 avis,Méditerranéenne,€€-€€€
 Ristorante Il Piccolo Mondo,2 079 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Layalina,236 avis,"Libanaise, Barbecue/Grillades",€€-€€€
 Apuleius,502 avis,"Italienne, Méditerranéenne",€€-€€€
 La Treggia,497 avis,"Italienne, Pizza",€€-€€€
 Ristorante Cotto,3 204 avis,"Italienne, Romana",€€-€€€
 Vero Food - Ludovisi,162 avis,"Italienne, Café",€€-€€€
 Zerosettantacinque,1 691 avis,"Pizza, Internationale",€€-€€€
 Casette di Campagna,2 219 avis,"Italienne, Pizza",€€€€
 La Famiglia,3 031 avis,"Italienne, Pizza",€€-€€€
 Trattoria Coriolano,387 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Bar La Licata,908 avis,"Italienne, Bar",€
 La Rosa Rossa,1 103 avis,"Italienne, Saine",€
 Caramella,768 avis,"Italienne, Bar à bières",€€-€€€
 Pizzeria Il Grano,833 avis,"Italienne, Pizza",€
 Il Fellini,1 478 avis,"Italienne, Fruits de mer et poisson",€€€€
 Renato e Luisa,1 311 avis,"Italienne, Méditerranéenne",€€-€€€
 Quanto Basta Slow Restaurant,501 avis,"Française, Internationale",€€€€
 Ristorante Campisi,457 avis,"Italienne, Fruits de mer et poisson",€€-€€€
 Dar Sor Olimpio al Drago,1 181 avis,"Italienne, Méditerranéenne",€€-€€€
 Porto Cervara Roma,653 avis,"Fruits de mer et poisson, Méditerranéenne",€€-€€€
 Ce Stamo a Pensà,1 468 avis,"Italienne, Méditerranéenne",€
 My BagS,448 avis,"Italienne, Restauration rapide",€
 Movie Restaurant,948 avis,"Italienne, Méditerranéenne",€€-€€€
 Zia Restaurant,264 avis,"Italienne, Internationale",€€€€
 Rimessa Roscioli Ristorante,945 avis,"Italienne, Méditerranéenne",€€-€€€
 Saluzzo al Nove,694 avis,"Italienne, Méditerranéenne",€€-€€€
 Beerstyle,122 avis,"Américaine, Bar à bières",€
 Origano Trevi,2 320 avis,"Italienne, Pizza",€€-€€€
 Prosciutteria Cantina Dei Papi - Trastevere,2 754 avis,"Italienne, Méditerranéenne",€€-€€€
 Casale del Fornaccio,694 avis,"Italienne, Pizza",€€-€€€
 Barnum Cafè,657 avis,"Bar, Café",€
 Dietrolangolo,386 avis,"Italienne, Méditerranéenne",€€-€€€
 Pizzeria Loffredo,2 013 avis,"Italienne, Pizza",€
