Titre,Lien_du_titre,Date,Lieux,Prix
Hardwear.io – Hardware Security Conference and Training – NL 2023,https://www.eventbrite.com/e/hardweario-hardware-security-conference-and-training-nl-2023-tickets-651606250837?aff=ebdssbdestsearch,"lun. 30 oct., 09:00",The Hague Marriott Hotel,"182,99 €"
Waliversum 2023 – Episode 2,https://www.eventbrite.de/e/waliversum-2023-episode-2-tickets-633986920947?aff=ebdssbdestsearch,samedi prochain à 12:00,Factory Hammerbrooklyn,"129,00 €"
Cloud Day 2023,https://www.eventbrite.it/e/biglietti-cloud-day-2023-580512497507?aff=ebdssbdestsearch,"lun. 13 nov., 09:30",Talent Garden Calabiana,"0,00 €"
"Dalia Lazar, Pianoforte",https://www.eventbrite.it/e/biglietti-dalia-lazar-pianoforte-598356168407?aff=ebdssbdestsearch,"sam. 28 oct., 19:00",Museo del tulle,"5,00 €"
V Barcelona Perfumery Congress,https://www.eventbrite.es/e/v-barcelona-perfumery-congress-tickets-578677248227?aff=ebdssbdestsearch,"mer. 22 nov., 09:00",Barcelona,"150,00 €"
Púca Spooka - Tullamore - Sat 28 Oct - 3:00pm Timeslot,https://www.eventbrite.ie/e/puca-spooka-tullamore-sat-28-oct-300pm-timeslot-tickets-721655209157?aff=ebdssbdestsearch,samedi prochain à 15:00,Lloyd Town Park,"0,00 €"
Mädelsflohmarkt Ulm 11. & 12.11.23,https://www.eventbrite.de/e/madelsflohmarkt-ulm-11-121123-tickets-721197750887?aff=ebdssbdestsearch,"sam. 11 nov., 11:00",Ulm-Messe,"24,62 €"
Baile das Bruxas - Halloween | Claridge Events | Brussels,https://www.eventbrite.be/e/baile-das-bruxas-halloween-claridge-events-brussels-tickets-720757072807?aff=ebdssbdestsearch,"sam. 28 oct., 21:00",Claridge Events | Salle événements,"17,24 €"
End to End Svalbard Movie Premiere,https://www.eventbrite.de/e/end-to-end-svalbard-movie-premiere-tickets-719126525797?aff=ebdssbdestsearch,"lun. 6 nov., 20:00",Filmtheater Sendlinger Tor,"9,17 €"
Introduzione a Bitcoin,https://www.eventbrite.it/e/biglietti-introduzione-a-bitcoin-682270839447?aff=ebdssbdestsearch,samedi prochain à 15:00,Nana Bianca,"15,00 €"
