Titre,Avis,Type,Price
397. Bierfabriek Amsterdam,1 222 avis,"Bar à bières, Hollandaise",€€-€€€
398. Loetje Amsterdam Café,1 817 avis,"Steakhouse, Hollandaise",€€-€€€
399. Café Brecht,156 avis,"Hollandaise, Bar",€€-€€€
400. BAK restaurant,306 avis,"Hollandaise, Internationale",€€€€
"401. Bellezza, The Restaurant",64 avis,"Internationale, Européenne",€€€€
402. LA BOCA,542 avis,"Steakhouse, Latino",€€-€€€
403. Hard Rock Cafe,9 059 avis,"Américaine, Barbecue/Grillades",€€-€€€
404. Van Dobben,728 avis,"Hollandaise, Restauration rapide",€
405. Cafe Brakke,83 avis,"Bar, Café",€€-€€€
406. Casa Di Sergio,581 avis,"Italienne, Pizza",€€-€€€
407. Cafe Restaurant Aaltje,163 avis,"Hollandaise, Bar",€€-€€€
408. Bistro Baret,111 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€
409. Toko Pandora,184 avis,"Asiatique, Indonésienne",€
410. Spaghetteria Amsterdam Jan Hanzenstraat,270 avis,"Italienne, Fruits de mer et poisson",€€-€€€
411. Le Pain Quotidien,302 avis,"Café, Européenne",€€-€€€
412. Bella Roma Amsterdam,143 avis,"Italienne, Européenne",€€-€€€
