Titre,Avis,Type,Price
 Dabka,567 avis,"Libanaise, Méditerranéenne",€€-€€€
 Pind Punjabi Indian Restaurant,224 avis,"Indienne, Asiatique",€€-€€€
 Paskamer,195 avis,"Internationale, Méditerranéenne",€€-€€€
 Formosa Argentina,399 avis,"Steakhouse, Latino",€€-€€€
 Cafe Stevens,300 avis,"Hollandaise, Bar",€€-€€€
 Het Karbeel,1 224 avis,"Hollandaise, Suisse",€€-€€€
 Mossel en Gin,634 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€
 Saint Morris Argentijns Restaurant,430 avis,"Steakhouse, Barbecue/Grillades",€€-€€€
 Amigo Restaurant,614 avis,"Steakhouse, Internationale",€€-€€€
 Levant,240 avis,"Méditerranéenne, Européenne",€€-€€€
 Locals,274 avis,"Café, Internationale",€€-€€€
 MOAK Pancakes - CITY CENTER (Formerly MOOK),425 avis,"Américaine, Café",€€-€€€
 Samrat Indian Restaurant,232 avis,"Indienne, Asiatique",€€-€€€
 Prins Heerlijk,644 avis,"Hollandaise, Café",€
 Yu Family Kitchen,419 avis,"Chinoise, Restauration rapide",€
 Moeders,2 789 avis,"Hollandaise, Internationale",€€-€€€
 Thaise Snackbar Bird,649 avis,"Asiatique, Thaï",€
 Little Collins,432 avis,"Café, Internationale",€€-€€€
 La Casa Di Michael,519 avis,"Italienne, Bar",€€-€€€
 Il Pacioccone,1 736 avis,"Italienne, Méditerranéenne",€€-€€€
 Excalibur Café,334 avis,,Menu
 TER Restaurant Steakhouse,572 avis,"Steakhouse, Barbecue/Grillades",€€-€€€
 Oresti's taverna,546 avis,"Méditerranéenne, Espagnole",€€-€€€
 Van Gogh Museum Cafe Le Tambourin,1 177 avis,"Café, Européenne",€€-€€€
 Amigo Argentijns Restaurant,578 avis,"Steakhouse, Barbecue/Grillades",€€-€€€
 Little Thai Prince,502 avis,"Asiatique, Thaï",€€-€€€
 Cafe Smalle,548 avis,"Hollandaise, Bar",€€-€€€
 UMAMI by Han Amsterdam,302 avis,"Française, Japonaise",€€-€€€
 Bulls and Dogs (VAN WOUSTRAAT),498 avis,"Américaine, Cuisine de rue (street food)",€
 Verona Ristorante Italiano,636 avis,"Italienne, Pizza",€€-€€€
 Humphrey's Amsterdam,1 793 avis,"Hollandaise, Internationale",€€-€€€
 De Blauwe Hollander,1 660 avis,"Hollandaise, Internationale",€€-€€€
 Ron Gastrobar Indonesia,464 avis,"Fruits de mer et poisson, Asiatique",€€-€€€
 De Belhamel,1 584 avis,"Française, Hollandaise",€€€€
 A-Fusion,474 avis,"Chinoise, Japonaise",€€-€€€
 Croque Madame Gluten Free Food,170 avis,"Internationale, Européenne",€€-€€€
 Cannibale Royale Ruysdaelkade,369 avis,"Américaine, Steakhouse",€€-€€€
 Pressroom,375 avis,"Française, Bar",€€-€€€
 Parallel Amsterdam,209 avis,"Méditerranéenne, Européenne",€€-€€€
 Drovers Dog,413 avis,"Bar, Australienne",€€-€€€
 La Casona,252 avis,"Steakhouse, Barbecue/Grillades",€€-€€€
 Cannibale Royale Lange Niezel,416 avis,"Américaine, Steakhouse",€€-€€€
 Lucius Visrestaurant,1 613 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€
 El Vino,789 avis,"Mexicaine, Latino",€€-€€€
 De Bakkerswinkel Amsterdam Centre,571 avis,"Hollandaise, Café",€€-€€€
 Pizzeria Fuoco Vivo,497 avis,"Italienne, Pizza",€€-€€€
 Cafe-Restaurant de Bazel,158 avis,"Café, Internationale",€€-€€€
 Barney's Coffeeshop,656 avis,-,Menu
 Al Bacaro,404 avis,"Italienne, Méditerranéenne",€€-€€€
 Lars Amsterdam,131 avis,"Hollandaise, Fruits de mer et poisson",€€€€
 Tomo Sushi,430 avis,"Japonaise, Sushi",€€-€€€
 Cafe de Klos,2 231 avis,-,
 Cannibale Royale,1 742 avis,"Américaine, Steakhouse",€€-€€€
 Ponte Vecchio,466 avis,Italienne,€€-€€€
 Ibericus Amsterdam,267 avis,"Méditerranéenne, Européenne",€€-€€€
 ROYAL98,652 avis,Italienne,€€-€€€
 restaurant WILDE ZWIJNEN,572 avis,"Hollandaise, Européenne",€€-€€€
 Bistrot Neuf,786 avis,"Française, Européenne",€€-€€€
 Molly Malone's Irish Pub,917 avis,"Irlandaise, Bar",€€-€€€
 De Voetangel,260 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€
 De Pizzabakkers Haarlemmerdijk,312 avis,"Italienne, Pizza",€€-€€€
 Kessens,240 avis,"Café, Internationale",€€-€€€
 Restaurant Sita,104 avis,"Indienne, Asiatique",€€-€€€
 Bowery Restaurant,398 avis,"Hollandaise, Internationale",€€-€€€
 Sluizer Restaurants,588 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€
 Bar Valdi,50 avis,"Bar, Café",€€-€€€
 Incanto,630 avis,"Italienne, Européenne",€€€€
 Restaurant Lastage,382 avis,"Française, Hollandaise",€€€€
 Bolenius,309 avis,"Hollandaise, Européenne",€€€€
 Venus & Adonis,780 avis,"Française, Steakhouse",€€-€€€
 Le Restaurant Amsterdam,175 avis,"Française, Fruits de mer et poisson",€€€€
 Restaurant BREDA,592 avis,"Française, Internationale",€€-€€€
 De Duvel,335 avis,"Hollandaise, Bar",€€-€€€
 Barbeque Castell,910 avis,"Steakhouse, Bar",€€-€€€
 Rijsel,291 avis,"Française, Européenne",€€-€€€
 Broodje Popov,63 avis,"Américaine, Café",€
 De Carrousel Pannenkoeken,642 avis,"Hollandaise, Européenne",€€-€€€
 Ko Chang Thai Restaurant,240 avis,"Asiatique, Thaï",€€-€€€
 Proeflokaal A. van Wees,537 avis,"Hollandaise, Bar",€€-€€€
 Lunchcafe Waterloo,219 avis,"Hollandaise, Bar",€
 Jansz.,875 avis,Européenne,€€-€€€
 Locanda,265 avis,"Italienne, Méditerranéenne",€€-€€€
 Cafe 'T Gasthuys,366 avis,"Hollandaise, Bar",€
 Il Borgo Ristorante Italiano,90 avis,"Italienne, Méditerranéenne",€€-€€€
 Hotel de Goudfazant,526 avis,"Française, Hollandaise",€€-€€€
 Stubbe's haring,220 avis,"Hollandaise, Restauration rapide",€
 Lotti's,463 avis,"Bar, Européenne",€€-€€€
 Meatless District,293 avis,"Européenne, Saine",€€-€€€
 Myrabelle,293 avis,"Hollandaise, Bar",€€-€€€
 Belushi's,511 avis,"Bar, Internationale",€
 EN Japanese kitchen & sake bar,212 avis,"Japonaise, Fruits de mer et poisson",€€-€€€
 Blue Amsterdam,841 avis,"Hollandaise, Café",€€-€€€
 La Luna Steakhouse Grill,1 143 avis,"Steakhouse, Barbecue/Grillades",€€-€€€
 Salmuera,446 avis,"Steakhouse, Latino",€€-€€€
 Bar-B Burgers 'N' Beer Bar,557 avis,"Américaine, Bar",€€-€€€
 Mayur,556 avis,"Indienne, Asiatique",€€-€€€
 Gauchos,456 avis,"Steakhouse, Barbecue/Grillades",€€-€€€
 The Lobby Fizeaustraat,310 avis,"Hollandaise, Fruits de mer et poisson",€€-€€€
 Grandcafé Hermes,594 avis,"Hollandaise, Bar",€€-€€€
 Café de Doffer,193 avis,"Hollandaise, Bar",€€-€€€
 Memories of India,717 avis,"Indienne, Asiatique",€€-€€€
 Hasta La Pasta,682 avis,"Italienne, Européenne",€
 Anmol Indian Restaurant,287 avis,Indienne,€€-€€€
 Mi Sueno,220 avis,"Steakhouse, Latino",€€-€€€
 De Nachtwacht,1 345 avis,"Steakhouse, Bar",€€-€€€
 De Biertuin East,429 avis,"Hollandaise, Bar",€€-€€€
