Titre,Avis,Type,Price
375. Schoneberger Weltlaterne,236 avis,"Allemande, Européenne",€€-€€€
376. The Hat Jazz Bar Berlin,140 avis,Pub,€€-€€€
377. Irish Pub,529 avis,"Bar, Européenne",€€-€€€
378. Brasserie Quarré,389 avis,"Allemande, Européenne",€€€€
379. Lemke am Schloss - Wirtshaus & Brauerei,420 avis,"Allemande, Bar à bières",€€-€€€
380. LaVida Wine Club,164 avis,"Bar, Européenne",€€-€€€
381. Madame Ngo,196 avis,"Asiatique, Vietnamienne",€€-€€€
382. Das Caro,115 avis,"Allemande, Bar",€€-€€€
383. Vietnam Village,262 avis,"Asiatique, Vietnamienne",€
384. Sapa Sushi,208 avis,"Japonaise, Fruits de mer et poisson",€€-€€€
385. Calice d'Oro,192 avis,"Italienne, Internationale",€€-€€€
386. Trattoria La Terrazza,144 avis,"Italienne, Méditerranéenne",€€-€€€
387. Crêperie Suzette,153 avis,"Française, Européenne",€€-€€€
388. Avocado Club,69 avis,"Péruvienne, Internationale",€€-€€€
389. Jungbluth-Restaurant,212 avis,"Allemande, Européenne",€€€€
390. Ja! NIKO Ja!,596 avis,"Méditerranéenne, Européenne",€€-€€€
391. Petrarca Vinantipasteria,102 avis,Italienne,€€-€€€
392. Restaurant Dalmacija,107 avis,"Européenne, Europe de l'Est",€€-€€€
393. CODA Dessert Dining,139 avis,Européenne,€€€€
394. Hackescher Hof,483 avis,"Allemande, Fusion",€€-€€€
395. Il Valentino,182 avis,"Italienne, Méditerranéenne",€€-€€€
396. Fleischerei Domke,73 avis,"Allemande, Européenne",€
397. Restaurant Pasta & Passione,261 avis,"Italienne, Pizza",€€-€€€
398. Dong Do Restaurant,95 avis,"Asiatique, Vietnamienne",€
399. Chen Che Teehaus,620 avis,"Asiatique, Vietnamienne",€€-€€€
400. Kitchen Library,79 avis,"Allemande, Internationale",€€-€€€
401. Felix Austria,175 avis,"Autrichienne, Européenne",€€-€€€
402. Kartoffelkeller,972 avis,"Allemande, Européenne",€€-€€€
403. Spindler,335 avis,"Française, Steakhouse",€€-€€€
404. L'Osteria Berlin Memhardstrasse,396 avis,"Italienne, Pizza",€€-€€€
405. Rüedigers,156 avis,"Autrichienne, Internationale",€€-€€€
406. Alt Berliner Biersalon,1 090 avis,"Allemande, Bar",€€-€€€
"407. Tommi's Burger Joint, Kudamm",128 avis,"Américaine, Restauration rapide",€
408. La Cantina Rosso,188 avis,"Italienne, Pizza",€€-€€€
409. Mãmây,126 avis,"Asiatique, Grillades",€€-€€€
410. Pikilia,129 avis,"Méditerranéenne, Européenne",€€-€€€
411. Das Lemke,1 704 avis,"Allemande, Bar à bières",€€-€€€
412. Ars Vini,270 avis,"Fruits de mer et poisson, Internationale",€€-€€€
413. Panama Berlin,216 avis,"Internationale, Européenne",€€-€€€
414. Fatoush,125 avis,"Internationale, Moyen-Orient",€
415. Gasthaus Glashaus,120 avis,"Européenne, Croate",€€-€€€
416. Hasir Burger,132 avis,"Américaine, Restauration rapide",€
417. Ben Thanh,80 avis,"Asiatique, Vietnamienne",€
418. Schwarze Pumpe,129 avis,"Allemande, Bar",€
419. Butterhandlung,106 avis,"Européenne, Europe centrale",€€-€€€
420. India Express Indische Restaurant,93 avis,"Indienne, Asiatique",€
421. Tbilisi,172 avis,"Européenne, Grillades",€€-€€€
422. Santa Maria,565 avis,"Mexicaine, Latino",€€-€€€
423. Cafe Morgenland,297 avis,"Bar, Café",€
424. Blend Berlin Kitchen und Bar,246 avis,"Internationale, Européenne",€€-€€€
425. der Weinlobbyist - Bistro&Weinbar,32 avis,"Internationale, Bar à vins",€€-€€€
